oo2015_6_A,L1
oo2015_7_B,L3
oo2015_6_B,L2b
oo2015_5_B,L2b
oo2015_8_A,L2a
oo2015_10_A,L2a
oo2015_9_A,L2a
oo2015_5_A,L1
oo2015_3_B,L2b
oo2015_2_B,CM
oo2015_7_A,L3
obla1305_7,OV
obla1305_8,OV
obla1305_5,OV
obla1305_6,OV
obla1305_4,OV
blabla0903_1_A,L2a
blabla0903_4_B,L3
blabla0903_6_A,L3
blabla0903_5_B,L1
blabla0903_3_A,L2a
blabla0903_1_B,L2b
blabla0903_2_A,L2a
blabla0903_5_A,L3
blabla0903_3_B,L3
blabla0903_2_B,L2a
oo0909_4_A,mld
oo0909_4_B,L2b
oo0909_6_A,mld
oo0909_6_B,L3
oo0909_5_B,L2b
oo0909_2_A,mld
oo0909_5_A,mld
oo0909_2_B,L2b
blabla1819_1_A,mld
blabla1819_4_B,L3
yg0331_4_A,mld
yg0331_1_A,mld
yg0331_4_B,L3
yg0331_8_B,L1
yg0331_6_A,mld
yg0331_10_B,L2a
yg0331_7_B,None
yg0331_6_B,None
yg0331_5_B,L3
yg0331_8_A,mld
yg0331_3_A,mld
yg0331_10_A,mld
yg0331_1_B,None
yg0331_2_A,mld
yg0331_9_B,L1
yg0331_9_A,mld
yg0331_5_A,mld
yg0331_3_B,L3
yg0331_2_B,L2a
yg0331_7_A,mld
oo1220_1_A,CM
oo1220_6_A,L3
oo1220_6_B,L3
oo1220_5_B,L2a
oo1220_1_B,CM
oo1220_2_A,CM
oo1220_5_A,L2a
oo1220_3_B,L
oo1220_2_B,CM
pupu2122_4_A,L
pupu2122_3_A,L
pupu2122_1_B,CM
pupu2122_2_A,L
pupu2122_5_A,L
pupu2122_3_B,L2a
pupu2122_2_B,L2a
pipi1112_1_A,mld
pipi1112_2_A,mld
pupi0414_10,OV
pupi0414_2,OV
pupi0414_9,OV
pupi0414_7,OV
pupi0414_8,OV
pupi0414_3,OV
pupi0414_5,OV
pupi0414_1,OV
pupi0414_6,OV
gg1114_4_A,L
gg1114_5_B,L3
gg1114_2_A,CM
gg1114_7_A,L3
pipu0617_4_A,None
pipu0617_4_B,L2a
pipu0617_8_B,L1
pipu0617_6_A,mld
pipu0617_10_B,L2a
pipu0617_7_B,L1
pipu0617_6_B,None
pipu0617_5_B,L2a
pipu0617_8_A,mld
pipu0617_3_A,mld
pipu0617_10_A,mld
pipu0617_2_A,mld
pipu0617_9_B,L2a
pipu0617_9_A,None
pipu0617_5_A,mld
pipu0617_3_B,L1
pipu0617_2_B,None
pipu0617_7_A,mld
blabla1904_4_A,mld
blabla1904_1_A,mld
blabla1904_4_B,L3
blabla1904_5_B,L3
blabla1904_3_A,mld
blabla1904_1_B,CM
blabla1904_2_A,mld
blabla1904_5_A,mld
blabla1904_3_B,L2a
pupu0333_4_A,mld
pupu0333_1_A,mld
pupu0333_4_B,CM
pupu0333_5_B,CM
pupu0333_3_A,mld
pupu0333_1_B,None
pupu0333_2_A,mld
pupu0333_5_A,mld
pupu0333_3_B,L3
pupu0333_2_B,L
blublu0916_4_A,mld
blublu0916_1_A,mld
blublu0916_3_A,mld
blublu0916_5_A,mld
oo1010_4_A,mld
oo1010_1_A,mld
oo1010_4_B,L3
